factor,lbm
a_inw,-0.2083522435594649
a_man,-0.20908903564547335
a_vrouw,-0.20759222924554332
a_geb,-0.19604220106515707
p_geb,-0.3293937224649436
a_ste,-0.2197252307113723
p_ste,0.21845470547628976
a_hh,-0.19410093191410516
bev_dich,-0.30967615110631874
a_woning,-0.19797160799031285
p_1gezw,0.27506634680790665
p_mgezw,-0.27506634680790637
p_bewndw,-0.23102841579294453
p_leegsw,0.2310284157929428
p_koopw,0.3620743437821411
p_huurw,-0.3769438089441959
p_wcorpw,-0.49018287338639593
p_ov_hw,0.07511128512864672
p_e_o_w,0.07971059242056427
p_bjj2k,0.024493904194532293
p_bjo2k,-0.024493904194534875
g_ele,0.20397636312385586
g_ele_ap,0.09399066268971865
g_ele_tw,-0.21467007932236226
g_ele_hw,-0.17230992133576287
g_ele_2w,-0.1150934407022274
g_ele_vw,-0.061016725280454216
g_ele_hu,0.05013127430298852
g_ele_ko,0.13418074604508065
g_gas,0.4074026418144325
g_gas_ap,0.2838409825759241
g_gas_tw,0.2125240194760912
g_gas_hw,0.18311922715449358
g_gas_2w,0.1654088383770627
g_gas_vw,0.1776377812609017
g_gas_hu,0.2833495056905077
g_gas_ko,0.4046401577921948
p_stadsv,-0.09257831148018443
a_inkont,-0.20708642341833786
g_ink_po,0.4481402468472695
g_ink_pi,0.49003140190969247
p_ink_li,-0.2867099444800872
p_ink_hi,0.3542451981768829
p_hh_li,-0.3220296557287392
p_hh_hi,0.4501295830234203
p_hh_lkk,-0.34195309717655015
p_hh_osm,-0.3806458758449972
a_soz_wb,-0.1871164268692771
a_soz_ao,-0.2609102495368589
a_soz_ww,-0.2446869232432336
a_soz_ow,-0.22824201398321103
a_bedv,-0.10443048193064232
a_bed_a,0.019896195322090655
a_bed_bf,-0.17972975254573398
a_bed_gi,-0.15737238852381769
a_bed_hj,-0.09679952333088218
a_bed_kl,-0.08616608522946806
a_bed_mn,-0.08583279855955116
a_bed_ru,-0.0937251693135076
a_pau,-0.2417554414360707
a_bst_b,-0.25728517742964224
a_bst_nb,-0.17321564850351312
g_pau_km,-0.3091029058121458
a_m2w,-0.2362520934923208
g_afs_hp,0.2530976551957918
g_afs_gs,-0.04228054479811551
g_afs_kv,0.21754611666762516
g_3km_sc,-0.31723181095689507
a_opp_ha,0.10824670926150286
a_lan_ha,0.056061173121103695
a_wat_ha,0.12584363816257108
ste_mvs,0.33835774219503245
ste_oad,-0.3165791215383713
