ID;GM_name;lbm;a_bed_a;a_bed_bf;a_bed_gi;a_bed_hj;a_bed_kl;a_bed_mn;a_bed_ru;a_bedv;a_bst_b;a_bst_nb;a_geb;a_hh;a_inkont;a_inw;a_lan_ha;a_m2w;a_man;a_opp_ha;a_pau;a_soz_ao;a_soz_ow;a_soz_wb;a_soz_ww;a_ste;a_vrouw;a_wat_ha;a_woning;bev_dich;g_3km_sc;g_afs_gs;g_afs_hp;g_afs_kv;g_afs_sc;g_ele;g_ele_2w;g_ele_ap;g_ele_hu;g_ele_hw;g_ele_ko;g_ele_tw;g_ele_vw;g_gas;g_gas_2w;g_gas_ap;g_gas_hu;g_gas_hw;g_gas_ko;g_gas_tw;g_gas_vw;g_hhgro;g_ink_pi;g_ink_po;g_pau_hh;g_pau_km;lbm;p_1gezw;p_bewndw;p_bjj2k;p_bjo2k;p_e_o_w;p_geb;p_hh_hi;p_hh_li;p_hh_lkk;p_hh_osm;p_huurw;p_ink_hi;p_ink_li;p_koopw;p_leegsw;p_mgezw;p_ov_hw;p_stadsv;p_ste;p_wcorpw;pst_dekp;pst_mvp;ste_mvs;ste_oad
GM0014;Groningen;4.1545831242;121;1689;3624;2131;1481;5464;3273;19853;59629;20617;1982;127452;171360;213980,2;12463,4;5534;106523;13299;80247;8612;26924;10632;3606;1552,4;107457,2;835,8;106875;1948,2;10,22;0,66;0,76;0,46;0,72;2262;3276;2000;1952;2828;2714;2662;3908;1122;1518;1050;994;1424;1316;1236;2106;1,64;23,82;28,38;0,64;711,6;4,154583124;37,4;95,8;85,8;14,2;0,8;9,2;10,55;62,375;14,85;12,6;60,2;15,675;48,625;39;4,2;62,6;24,4;;7,2;35,4;;;1;3356,6
GM0034;Almere;3.9977851104;93;2464;3750;2321;1218;4974;2266;18909;136162;114123;2444,2;86153;155600;205573,2;12922;6974;101975,4;24877;250286;9596;20836;5786;4546;1034,2;103597,8;11954,8;83042,8;1590,8;14,74;0,74;0,9;0,52;0,62;3070;3952;2250;2452;3372;3416;3244;4550;420;704;276,6666667;364;494;460;416;932;2,36;25,78;33,48;;;3,99778511;73,2;97,8;67,4;32,6;0;12;21,575;34,6;8,725;7,475;36,2;21,45;36,625;63,4;2,2;26,8;9,4;58,15;5;27,2;;;2;1591,6
GM0037;Stadskanaal;4.0898660836000005;162;438;641;142;227;400;312;2489;13416;3287;279,2;14555;25640;32243,2;11763,6;1638;15943,6;11994;16704;2166;7474;1008;600;423,4;16299,6;230,6;15262,8;274;6,18;1,24;1,62;1,18;0,9;2868;3074;1900;2198;2732;3322;2586;3674;1518;1578;873,3333333;1202;1502;1770;1386;2032;2,16;21,48;26,26;1,14;141,8;4,089866084;78,2;94,8;88;12;1,8;8,6;11,775;46,825;9,025;7,85;39;11,25;48,325;59;5,2;21,8;8,4;;13,2;30,4;;;4;814,8
GM0047;Veendam;4.1032311130000005;81;331;499;115;152;375;227;1929;11525;2859;225,8;12498,6;21720;27523;7598,6;1444;13688,8;7868;14385;1692;5728;962;592;305,4;13834,2;269,4;12806;362,2;5,68;1,22;1,2;0,92;0,82;2754;2976;1900;2100;2708;3106;2576;3536;1546;1616;990;1264;1600;1724;1444;2064;2,16;22,58;28,1;1,12;189,2;4,103231113;79;96,6;89,6;10,4;0,6;8,2;12,65;43,475;9,125;7,9;34,6;14,025;44,575;64,8;3,4;21;10,4;0;10,8;24,2;;;3,6;978,2
GM0050;Zeewolde;4.0953676192;317;357;532;191;233;644;238;2699;9570;4646;235;9315;17380;22404,2;24735,8;1040;11444,8;26886;14216;798;2632;292;406;99,4;10958,4;2150;8471,8;90,6;8,76;1,52;1,86;1,34;1,26;3098;3950;2100;2416;3144;3424;3012;4308;966;1126;626,6666667;742;976;1076;870;1794;2,38;26,76;34,1;1,52;57,4;4,095367619;85,2;97,4;69,6;30,4;0,4;10,6;25,65;32,1;6,325;4,975;31;22,7;37,15;68,4;2,6;14,8;7,6;16,1;4,4;23,6;;;4;818,4
GM0059;Achtkarspelen;4.110314306800001;202;646;638;141;142;378;267;2537;10360;4141;276,2;11696;21380;27950,8;10224,2;1229;14227,2;10398;14503;1264;5060;682;604;244,6;13723,6;173,8;12061,6;273,4;3,46;1,56;1,54;1,04;0,7;2756;2878;1700;2122;2410;3126;2298;3272;1510;1408;916,6666667;1272;1440;1664;1322;1814;2,36;20,72;26,72;1,26;141,8;4,110314307;88,4;97;89,8;10,2;1,2;9,8;13,375;41,025;8;7;35,4;11,4;46,225;63,6;3;11,6;5,4;0;8,6;30,4;;;5;423
GM0060;Ameland;4.278951986;43;67;198;32;44;89;70;566;1622;193;32,6;1679;2980;3662,6;5842,8;295;1819,2;26850;1814;102;780;8;94;33,2;1843,4;21006,8;1711,6;62,8;1,4;0,46;1,48;3,14;0,8;3074;2858;1950;2484;2840;3358;2284;3398;1642;1408;1033,333333;1366;1458;1806;1114;1946;2,16;23,36;28,36;1,1;31;4,278951986;81;87;89,6;10,4;3,6;8,6;17,15;40,1;5,725;4,925;29,8;12,75;42,825;66,6;13;19;29,8;0;9;0;;;5;252,4
GM0072;Harlingen;4.1395399155999995;65;294;331;203;97;297;160;1542;5339;1738;123,4;7437,2;12500;15808,4;2496;674;7939,8;38767;7077;586;3618;540;326;187,6;7868,6;36270,8;7643,6;633,2;5,46;1,06;1,2;0,74;0,7;2432;2828;1900;1854;2460;2898;2308;3414;1266;1406;856,6666667;1070;1344;1444;1264;1786;2,08;22,74;28,02;0,96;283,6;4,139539916;77,2;94,6;85,4;14,6;0,4;7,8;12,65;46,825;10,1;9,75;44,4;13,925;46,225;55,2;5,4;22,8;11,4;0;11,8;32,8;;;3,2;1037,4
GM0074;Heerenveen;4.17585635;292;739;1037;350;423;1264;519;5055;18333;7102;466;22663,4;39800;50398,8;19008,8;2265;25006;19816,8;25436;1892;10188;1374;1018;553,6;25391,8;808;23398,8;265,2;7,18;1,64;1,62;0,96;0,86;2672;2780;1850;2066;2572;3094;2486;3500;1338;1376;906,6666667;1048;1280;1548;1126;1872;2,2;24,64;30,64;1,12;133,8;4,17585635;75,4;95,4;82,6;17,4;0,8;9,2;17,55;40,225;8,1;6,95;40;16,575;41,825;59;4,6;24,6;11,4;0;10,8;28,8;;;3,2;1067,4
GM0080;Leeuwarden;4.0977099254;278;1283;2271;860;709;2590;1521;10440;38846;11218;1166,8;59967,2;93220;117448;20462,4;3837;58252,4;22135,2;50062;4634;19854;5716;2480;1042,2;59195,6;1672,8;58969,8;591,4;10,7;0,88;1,22;0,6;0,76;2332;2866;1800;1910;2578;2766;2466;3416;1146;1380;890;968;1364;1342;1186;1784;1,9;23,4;28,68;0,84;249,4;4,097709925;63,6;95,6;86,6;13,4;0,6;10,2;12,275;51,65;12,525;10,675;49,2;14,95;44,75;50,2;4,4;36,4;18,8;3,25;9;30,6;;;2;2138,6
