factor,lbm
a_inw,-0.23718388121183398
a_man,-0.23961004014938772
a_vrouw,-0.2346163059868616
a_geb,-0.2450832320702164
p_geb,-0.17769692354666422
a_ste,-0.2243359270871532
p_ste,0.01897224680656061
a_hh,-0.22691993828517762
bev_dich,-0.21523201082070925
a_woning,-0.2295013953222433
p_1gezw,0.22696187514968824
p_mgezw,-0.22696345296281598
p_bewndw,-0.22677694583445687
p_leegsw,0.22684177538880715
p_koopw,0.4379389858964098
p_huurw,-0.45145517926749223
p_wcorpw,-0.6057094124998846
p_ov_hw,0.15835868472929954
p_e_o_w,0.09835429996427567
p_bjj2k,-0.0007794462272629176
p_bjo2k,0.0007713952057410716
g_ele,0.388964617260674
g_ele_ap,0.23938618651389929
g_ele_tw,0.05050219134374996
g_ele_hw,0.07312792587599481
g_ele_2w,0.1324736992582702
g_ele_vw,0.10350393593131375
g_ele_hu,0.2820616878208589
g_ele_ko,0.3286944392926603
g_gas,0.4592255958688153
g_gas_ap,0.28523042504707025
g_gas_tw,0.2648954300408493
g_gas_hw,0.2180271258309457
g_gas_2w,0.22312052873129107
g_gas_vw,0.1681655378511156
g_gas_hu,0.3789505027123839
g_gas_ko,0.4363203019704416
p_stadsv,-0.14500148318603318
a_inkont,-0.23553453028877316
g_ink_po,0.6711756355619002
g_ink_pi,0.7148388198427292
p_ink_li,-0.4361862645054785
p_ink_hi,0.5711358238477091
p_hh_li,-0.45967085470078045
p_hh_hi,0.5738723074702498
p_hh_lkk,-0.39008276823017024
p_hh_osm,-0.44148592539477527
a_soz_wb,-0.3079716935369501
a_soz_ao,-0.3366932002441014
a_soz_ww,-0.2521678667218105
a_soz_ow,-0.21399055189115046
a_bedv,-0.06361806413130751
a_bed_a,-4.134094294670537e-05
a_bed_bf,-0.22874332947801268
a_bed_gi,-0.08840305233700145
a_bed_hj,-0.0832255612436936
a_bed_kl,0.08460971667558986
a_bed_mn,0.022376091861267603
a_bed_ru,-0.030705270345279312
a_pau,-0.20675597832454615
a_bst_b,-0.2281827486257881
a_bst_nb,-0.10300785025937803
g_pau_km,-0.2677937204755039
a_m2w,-0.1997795064588346
g_afs_hp,0.2712820706165978
g_afs_gs,0.22686843687656874
g_afs_kv,0.21877049385766328
g_afs_sc,0.48057650697619614
g_3km_sc,-0.28734414890709564
a_opp_ha,0.0794119877559703
a_lan_ha,0.08490404430370627
a_wat_ha,-0.02742039995785484
ste_mvs,0.3138261771261464
ste_oad,-0.13616191083127754
