ID;WK_name;a_bed_a;a_bed_bf;a_bed_gi;a_bed_hj;a_bed_kl;a_bed_mn;a_bed_ru;a_bedv;a_bst_b;a_bst_nb;a_geb;a_hh;a_inkont;a_inw;a_lan_ha;a_m2w;a_man;a_opp_ha;a_pau;a_soz_ao;a_soz_ow;a_soz_wb;a_soz_ww;a_ste;a_vrouw;a_wat_ha;a_woning;bev_dich;g_3km_sc;g_afs_gs;g_afs_hp;g_afs_kv;g_afs_sc;g_ele;g_ele_2w;g_ele_ap;g_ele_hu;g_ele_hw;g_ele_ko;g_ele_tw;g_ele_vw;g_gas;g_gas_2w;g_gas_ap;g_gas_hu;g_gas_hw;g_gas_ko;g_gas_tw;g_gas_vw;g_hhgro;g_ink_pi;g_ink_po;g_pau_hh;g_pau_km;lbm;p_1gezw;p_bewndw;p_bjj2k;p_bjo2k;p_e_o_w;p_geb;p_hh_hi;p_hh_li;p_hh_lkk;p_hh_osm;p_huurw;p_ink_hi;p_ink_li;p_koopw;p_leegsw;p_mgezw;p_ov_hw;p_stadsv;p_ste;p_wcorpw;pst_dekp;pst_mvp;ste_mvs;ste_oad
WK001400;Centrum;5,0;159,0;1101,0;375,0;260,0;886,0;750,0;3774,0;3027,0;1212,0;83,0;17324,0;18380,0;21869,0;213,6;415,0;11476,0;227,0;4240,0;620,0;1550,0;844,0;310,0;92,0;10390,0;13,8;11462,8;10325,8;15,919999999999998;0,32;0,32;0,36;0,6199999999999999;2108,0;2822,0;1966,0;1942,0;2930,0;2524,0;2592,0;3628,0;1054,0;2044,0;978,0;978,0;1598,0;1322,0;1422,0;2684,0;1,22;21,12;22,98;0,24;1994,0;4,2656067718;15,2;90,4;89,4;10,6;3,0;3,8;5,180000000000001;80,44;16,82;14,4;80,0;11,06;61,24;16,6;9,6;84,8;51,8;3,7;4,4;28,0;nan;nan;1,0;6157,2
WK001401;Oud-Zuid;5,0;122,0;237,0;244,0;147,0;590,0;350,0;1896,0;4432,0;1132,0;160,0;15040,0;17880,0;21172,0;366,4;496,0;10443,0;383,2;5565,0;682,0;2006,0;794,0;342,0;92,0;10729,0;16,6;10995,4;5795,2;13,48;0,44;0,52;0,38;0,5599999999999999;2032,0;2600,0;1926,0;1922,0;2588,0;2234,0;2356,0;3188,0;1106,0;1632,0;1038,0;1046,0;1508,0;1208,0;1278,0;2196,0;1,42;23,42;26,06;0,4;1522,0;4,1999581466;19,4;95,2;91,0;9,0;0,6;7,2;6,859999999999999;69,64;12,52;10,96;66,2;14,2;51,96;33,2;4,8;80,6;37,2;nan;4,4;28,6;nan;nan;1,0;3909,2
WK001402;Oud-West;2,0;88,0;164,0;142,0;102,0;450,0;251,0;1341,0;3336,0;865,0;132,0;11116,0;13440,0;16530,0;351,4;357,0;8080,0;365,2;4200,0;542,0;1784,0;760,0;266,0;86,0;8449,0;13,8;8522,2;10694,0;14,8;0,42;0,6199999999999999;0,44;0,5599999999999999;2100,0;3546,0;1880,0;1914,0;2748,0;2324,0;2420,0;3616,0;1214,0;2134,0;1090,0;1098,0;1714,0;1354,0;1374,0;2264,0;1,44;24,0;27,4;0,4;2700,6;4,2140430486;27,4;95,2;95,2;4,8;1,0;7,2;9,18;67,67999999999999;13,34;11,66;63,0;15,98;51,220000000000006;36,0;4,8;72,6;35,0;0,0;4,4;28,0;nan;nan;1,0;4927,6
WK001403;Oud-Noord;4,0;93,0;187,0;150,0;33,0;347,0;271,0;1203,0;3403,0;746,0;200,0;12573,0;15340,0;18378,0;178,0;363,0;9136,0;186,0;4149,0;858,0;1124,0;1700,0;340,0;75,0;9243,0;9,0;9946,6;10344,0;12,16;0,42;0,54;0,3399999999999999;0,7;1928,0;2112,0;1836,0;1842,0;2402,0;2206,0;2442,0;3370,0;1020,0;1146,0;1000,0;972,0;1288,0;1198,0;1124,0;1656,0;1,46;19,76;22,82;0,32;2335,6;4,027502065999999;15,4;96,6;85,6;14,4;0,8;10,8;4,279999999999999;76,52000000000001;20,880000000000003;19,22;80,4;9,32;58,34;19,0;3,4;84,6;28,0;3,5;3,8;52,6;nan;nan;1,0;4882,8
WK001404;Oosterparkwijk;0,0;53,0;108,0;100,0;32,0;234,0;159,0;789,0;2662,0;552,0;145,0;8157,0;10180,0;12167,0;155,4;275,0;5987,0;169,8;3215,0;712,0;968,0;1090,0;236,0;67,0;6180,0;14,4;7167,6;7889,0;10,88;0,5;0,52;0,32;0,5599999999999999;2054,0;2378,0;1786,0;1824,0;2352,0;2176,0;2358,0;3440,0;1032,0;1266,0;928,0;928,0;1194,0;1064,0;1050,0;1973,3333333333333;1,5;22,04;25,52;0,4;2087,0;4,1125894374;20,6;96,4;83,6;16,4;1,0;11,8;5,88;72,56;19,46;18,6;74,8;11,62;52,32000000000001;24,0;3,6;79,4;22,4;nan;5,4;52,4;nan;nan;1,0;4046,0
WK001405;Zuidoost;6,0;255,0;436,0;169,0;178,0;427,0;130,0;1659,0;1976,0;1309,0;41,0;2455,0;3300,0;4110,0;1084,4;148,0;2162,0;1153,8;3286,0;124,0;448,0;120,0;78,0;25,0;1947,0;69,4;1999,8;348,2;9,26;1,02;1,04;0,92;1,22;2404,0;3858,0;2208,0;2150,0;2996,0;2952,0;2718,0;4280,0;780,0;1598,0;602,0;676,0;1280,0;986,0;990,0;1848,0;1,7399999999999998;32,56;38,92;1,72;306,2;4,2852439344;23,8;91,0;21,0;79,0;0,6;10,8;20,5;44,18;9,24;7,62;57,8;29,06;34,0;41,8;9,0;76,2;26,4;20,2;6,6;31,4;nan;nan;1,8;1959,0
WK001406;Helpman e.o.;5,0;96,0;196,0;160,0;170,0;531,0;268,0;1628,0;6038,0;1476,0;201,0;11751,0;16180,0;20457,0;447,4;461,0;10061,0;452,6;7515,0;726,0;3456,0;792,0;336,0;208,0;10397,0;5,8;10579,2;4559,4;9,24;0,54;0,8800000000000001;0,42;0,64;2306,0;3734,0;1906,0;1904,0;3020,0;2630,0;2864,0;4426,0;1286,0;2060,0;1044,0;1054,0;1764,0;1486,0;1554,0;2818,0;1,6800000000000002;30,06;36,06;0,6799999999999999;1678,0;4,2172258698;31,0;95,6;90,8;9,2;0,2;9,8;16,9;50,22;9,48;8,82;46,2;24,380000000000003;37,36;53,4;4,4;69,0;23,4;nan;10,0;23,0;nan;nan;1,0;2822,2
WK001407;Zuidwest;1,0;59,0;119,0;117,0;112,0;368,0;168,0;1084,0;3704,0;912,0;101,0;6559,0;9580,0;12006,0;445,2;310,0;5808,0;504,2;4615,0;500,0;2526,0;446,0;202,0;184,0;6198,0;59,0;6523,8;2763,0;8,379999999999999;0,6599999999999999;0,74;0,6;0,92;2202,0;3558,0;1792,0;1834,0;2768,0;2758,0;2690,0;4030,0;1058,0;1642,0;878,0;918,0;1370,0;1290,0;1182,0;2026,0;1,7600000000000002;28,82;34,32;0,7;1071,8;4,2397797936;33,0;95,2;81,4;18,6;1,4;8,2;16,02;51,4;8,8;9,02;57,8;21,8;38,74;40,6;4,8;67,0;19,8;0,0;15,6;38,0;nan;nan;2,0;2172,4
WK001408;Hoogkerk e.o.;10,0;137,0;184,0;119,0;83,0;221,0;121,0;946,0;4282,0;1058,0;134,0;5461,0;9640,0;12942,0;1494,0;428,0;6465,0;1632,0;5341,0;502,0;1836,0;342,0;240,0;69,0;6478,0;138,4;5067,0;864,4;4,3;1,1800000000000002;1,1800000000000002;0,6;0,98;2902,0;3268,0;1922,0;2420,0;2934,0;3160,0;2766,0;3736,0;1276,0;1380,0;806,0;1120,0;1356,0;1358,0;1160,0;1872,0;2,3600000000000003;23,92;31,4;0,96;356,8;4,1745713562;87,8;98,0;68,8;31,2;0,6;10,2;21,32;36,8;6,640000000000001;6,98;32,4;19,64;40,32;67,0;2,0;12,2;6,4;0,0;5,4;26,0;nan;nan;4,0;731,2
WK001409;Nieuw-West;4,0;150,0;230,0;159,0;74,0;341,0;182,0;1257,0;5709,0;1369,0;222,0;9984,0;15520,0;20404,0;773,2;558,0;10220,0;821,4;7080,0;930,0;2660,0;1056,0;408,0;154,0;10184,0;48,2;9060,4;2591,6;8,36;0,78;0,86;0,5599999999999999;0,82;2524,0;3280,0;1874,0;2128,0;2956,0;3036,0;2890,0;3676,0;1058,0;1308,0;758,0;962,0;1394,0;1180,0;1198,0;1686,0;2,02;22,02;27,8;0,72;892,6;4,049496081;56,4;97,4;76,6;23,4;0,0;10,4;13,18;54,32000000000001;11,62;11,72;56,6;15,36;47,260000000000005;43,2;2,6;43,6;13,4;3,8333333333333335;8,2;43,4;nan;nan;2,2;2085,0
