,ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster
0,BU00140000,4.134894643,4.186980431,4.217256481,4.219228961,4.28422016,4.29601281,4.341284194,4.349847839,2
1,BU00140001,4.107233147,4.195130348,4.238715577,4.21131185,4.275728993,4.245727294,4.270944651,4.272946849,2
2,BU00140002,4.106664389,4.160688984,4.200717562,4.203106832,4.24351411,4.234681738,4.248477745,4.251871156,2
3,BU00140003,4.154460475,4.242579946,4.261748362,4.258703051,4.291754958,4.243784382,4.273068136,4.236200256,2
4,BU00140005,4.176980691,4.214445799,4.221042563,4.227167378,4.268850268,4.282026452,4.307772899,4.303163084,2
5,BU00140007,4.027671723,4.036987927,4.085578556,4.173488033,4.297733186,4.249929098,4.252158424,4.306407903,1
6,BU00140008,4.052189667,4.104953141,4.178063239,4.247384005,4.325139021,4.287899656,4.293759577,4.267917581,2
7,BU00140100,4.200907388,4.272442459,4.309693128,4.318221825,4.308650108,4.34224963,4.33731265,4.312805912,2
8,BU00140101,4.05274776,4.137549774,4.168483926,4.186384164,4.18465688,4.203695034,4.244505125,4.239287584,1
9,BU00140102,4.135804105,4.214417685,4.222729659,4.234943998,4.227410331,4.227716336,4.237280172,4.244338135,2
10,BU00140103,4.064652016,4.110007091,4.154039758,4.155597412,4.153601645,4.171608832,4.21307101,4.219922395,1
11,BU00140104,4.110713322,4.103560764,4.118212695,4.125332791,4.137272987,4.152716477,4.197359629,4.21262357,1
12,BU00140105,4.051732129,4.126832045,4.155793133,4.152765144,4.199926872,4.214111934,4.229770902,4.176276224,1
13,BU00140106,4.044890375,4.095605833,4.104045211,4.141566249,4.138760657,4.195572539,4.21810086,4.206943032,1
14,BU00140107,4.113763347,4.152026346,4.167872586,4.156715723,4.200733415,4.167251572,4.25289828,4.22271898,1
15,BU00140108,4.248203358,4.225369798,4.341397865,4.074744761,4.1882829,4.584855223,4.661061813,4.489059554,0
16,BU00140109,4.654540909,4.37005061,4.64452437,4.456385009,4.362953352,4.510364548,4.428374149,4.401973686,0
17,BU00140200,4.100073334,4.161233601,4.164635794,4.154929205,4.138784946,4.175875673,4.196188283,4.204064517,1
18,BU00140201,4.08648696,4.14566684,4.178902956,4.209629431,4.255349833,4.21934379,4.252684623,4.260905969,2
19,BU00140202,4.17985723,4.235936118,4.271402688,4.264845194,4.278196299,4.270643158,4.285192943,4.26275778,2
20,BU00140203,3.988432741,4.039792636,4.088711935,4.084213393,4.118382502,4.100367729,4.097800897,4.10315567,4
21,BU00140300,3.841030797,3.902300289,3.95692461,3.924826273,3.975869547,3.943344876,3.977468124,3.979761674,3
22,BU00140301,3.838617695,3.924014302,3.954796389,3.953164181,3.98015406,3.998622875,4.026554202,4.021604376,4
23,BU00140302,4.009902743,4.063607593,4.045566177,4.059328075,4.09527971,4.11658583,4.170634783,4.195659272,1
24,BU00140400,4.02376168,4.100902352,4.123065002,4.121285035,4.143275169,4.133379829,4.177511624,4.165060437,1
25,BU00140401,3.993495415,4.045260998,4.048465921,4.071366232,4.088475112,4.049445326,4.067641617,4.092358787,4
26,BU00140402,3.923854007,4.007654314,4.040026453,4.030227163,4.060179118,4.046208666,4.096253545,4.077695576,4
27,BU00140403,3.943082579,4.031029667,4.071466508,4.090990353,4.125193131,4.083305832,4.129368429,4.158189328,4
28,BU00140404,4.095307061,4.13198897,4.124877229,4.233080758,4.226662046,4.211914762,4.254698022,4.219151899,1
29,BU00140500,3.958877679,4.027284074,4.25420137,4.237152634,4.225173507,4.32041623,4.303441733,4.288973379,2
30,BU00140501,3.992641554,4.020104688,4.213550777,4.325997845,4.257723393,4.324178538,4.30828201,4.279710573,2
31,BU00140502,4.3226218,4.409161169,4.1803683,4.098585871,4.233470321,4.320635992,4.250511971,4.310360308,2
32,BU00140503,4.180206947,4.136954348,4.34975085,4.241962946,4.343687465,4.293066777,4.242643934,4.26488778,2
33,BU00140505,4.36854893,4.373909725,4.356978607,4.271014175,4.347990444,4.307391355,4.2330641,4.150124532,2
34,BU00140506,4.267497568,4.329378394,4.301629015,4.206446322,4.397652927,4.471346597,4.323227899,4.249363817,2
35,BU00140507,4.279708588,4.380941574,4.104549121,4.007040549,4.034429936,4.168332973,4.196989338,4.204590346,1
36,BU00140508,4.234455464,4.359057567,4.095402116,3.93323859,3.9384657,4.196540116,4.100471448,4.259214135,1
37,BU00140510,4.384849283,4.290272418,4.432366693,4.412214021,4.433413833,4.439190649,4.395451705,4.438453769,0
38,BU00140600,4.179008289,4.286703918,4.399129679,4.418995828,4.38316212,4.421436548,4.358535372,4.293453525,0
39,BU00140601,4.20510918,4.194668274,4.200118573,4.2728198,4.297042931,4.296559227,4.282980528,4.27136144,2
40,BU00140602,4.428873311,4.39073894,4.387444769,4.356779268,4.382520997,4.363714262,4.350601178,4.34838934,0
41,BU00140603,4.411677407,4.423775332,4.447304972,4.469446609,4.461344093,4.472393045,4.453192222,4.453657131,0
42,BU00140604,4.171817009,4.221765155,4.238506043,4.229046257,4.238944331,4.231966134,4.227486706,4.186265245,2
43,BU00140605,3.968249817,3.95954507,4.033187122,4.035582767,4.056300189,4.007337795,4.091261664,4.030295593,4
44,BU00140606,4.278485163,4.294025736,4.321817789,4.329199555,4.340832302,4.351085617,4.360585951,4.328551641,2
45,BU00140700,4.077770167,4.114315793,4.144313363,4.120728627,4.17413421,4.17546882,4.226741591,4.173479223,1
46,BU00140701,4.214990584,4.2294769,4.254183312,4.229900896,4.258284378,4.234389556,4.2715457,4.261388426,2
47,BU00140702,4.306253752,4.331329043,4.377087691,4.442813436,4.444078971,4.448952869,4.458737068,4.458395136,0
48,BU00140703,4.599351532,4.703118461,4.774841598,4.533211998,4.819660622,4.745374978,4.679647924,4.524032998,0
49,BU00140704,4.314683983,4.448346962,4.466200347,4.472128116,4.441318227,4.471130781,4.454646969,4.446025098,0
50,BU00140800,4.039687077,4.10324775,4.126178733,4.085306234,4.108693414,4.109717485,4.122726659,4.14344486,1
51,BU00140801,4.06165758,4.065075473,4.109886392,4.095927139,4.127340673,4.10877017,4.146744127,4.170454889,1
52,BU00140802,4.679902083,4.610973186,4.617168207,4.524369825,4.478550024,4.54638375,4.560387186,3.85389151,0
53,BU00140803,4.466519129,4.385698871,4.408891163,4.351995381,4.337946332,4.295425167,4.245144619,4.221121795,0
