ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster,2002,2008,2012,2014,2016,2018,2020,2022
GM0014,4.04589789,4.089954692,4.123198629,4.129274782,4.151464609,4.152570518,4.17767903,4.161926682,3,4.062886955134328,4.077514644149254,4.098040871820896,4.097555255328358,4.100845745462687,4.120962627074627,4.137471543776119,4.134993271328359
GM0034,3.967272959,3.948239104,3.936780909,3.941069862,3.983230242,4.006627624,4.022546946,4.035450878,1,4.076157466063158,4.070072947431579,4.083967035526316,4.1070988579263155,4.125697949421053,4.128177836557895,4.138546759578948,4.135825036757895
GM0037,4.054117652,4.036599152,4.060657573,4.086291826,4.081769601,4.092428226,4.100905476,4.087935289,1,4.076157466063158,4.070072947431579,4.083967035526316,4.1070988579263155,4.125697949421053,4.128177836557895,4.138546759578948,4.135825036757895
GM0047,4.085872957,4.072340863,4.07348929,4.067268377,4.099846854,4.099276576,4.106787774,4.142975984,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
GM0050,4.060320737,4.055940507,4.085009423,4.078941566,4.106127979,4.102108771,4.092606248,4.097053532,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
GM0059,4.07575459,4.115805085,4.106352085,4.120223743,4.12170327,4.098389255,4.100672735,4.110582531,2,4.05066727644,4.072187560093333,4.081940190866667,4.100965317826667,4.120917301213334,4.1180894698133335,4.12183468044,4.14059472768
GM0060,4.224805927,4.251038313,4.273795333,4.269222767,4.304113405,4.273583735,4.277750682,4.270089341,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
GM0072,4.019295712,4.054343711,4.084872104,4.118550541,4.139620521,4.139821692,4.141180393,4.158526431,2,4.05066727644,4.072187560093333,4.081940190866667,4.100965317826667,4.120917301213334,4.1180894698133335,4.12183468044,4.14059472768
GM0074,4.087348251,4.121195886,4.113070485,4.193054495,4.159982303,4.163055072,4.167777218,4.195412662,4,4.0636667534651165,4.078576413697674,4.091693245906977,4.144668209767442,4.1560954526976746,4.146334326558139,4.161437243069767,4.164899693395348
GM0080,4.043837611,4.079674517,4.079816866,4.088158103,4.104190046,4.111302436,4.057179727,4.127719315,2,4.05066727644,4.072187560093333,4.081940190866667,4.100965317826667,4.120917301213334,4.1180894698133335,4.12183468044,4.14059472768
GM0085,4.114467573,4.123382821,4.135189264,4.124408247,4.134747664,4.143128483,4.141258227,4.144169933,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
GM0086,4.152973884,4.179684575,4.18542865,4.204163267,4.1755906,4.21786308,4.209731676,4.219599954,3,4.062886955134328,4.077514644149254,4.098040871820896,4.097555255328358,4.100845745462687,4.120962627074627,4.137471543776119,4.134993271328359
GM0088,4.113143978,4.123618849,4.146672828,4.323892604,4.299501234,4.214329168,4.23699338,4.230242495,4,4.0636667534651165,4.078576413697674,4.091693245906977,4.144668209767442,4.1560954526976746,4.146334326558139,4.161437243069767,4.164899693395348
GM0090,4.104219742,4.143805261,4.155425251,4.175815437,4.187361446,4.192620447,4.18232142,4.184720188,2,4.05066727644,4.072187560093333,4.081940190866667,4.100965317826667,4.120917301213334,4.1180894698133335,4.12183468044,4.14059472768
GM0093,4.263322047,4.300060004,4.348252822,4.377615269,4.386338326,4.394167585,4.40852477,4.399885611,3,4.062886955134328,4.077514644149254,4.098040871820896,4.097555255328358,4.100845745462687,4.120962627074627,4.137471543776119,4.134993271328359
GM0096,4.554421465,4.651825889,4.670604319,4.605006796,4.689251807,4.579699919,4.599791024,4.505673368,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
GM0098,4.039022271,4.035696967,4.044780767,4.090554008,4.109967879,4.124206468,4.114516419,4.124970159,1,4.076157466063158,4.070072947431579,4.083967035526316,4.1070988579263155,4.125697949421053,4.128177836557895,4.138546759578948,4.135825036757895
GM0106,4.041426881,4.059167839,4.079505348,4.101577681,4.123064523,4.115057057,4.121828226,4.134618481,2,4.05066727644,4.072187560093333,4.081940190866667,4.100965317826667,4.120917301213334,4.1180894698133335,4.12183468044,4.14059472768
GM0109,4.104874977,4.102625355,4.112616612,4.131439062,4.14378149,4.149179869,4.136895418,4.14488369,1,4.076157466063158,4.070072947431579,4.083967035526316,4.1070988579263155,4.125697949421053,4.128177836557895,4.138546759578948,4.135825036757895
GM0114,4.000786507,3.99998591,4.010217824,4.040113387,4.04587089,4.056923603,4.059389038,4.073758001,1,4.076157466063158,4.070072947431579,4.083967035526316,4.1070988579263155,4.125697949421053,4.128177836557895,4.138546759578948,4.135825036757895
GM0118,4.052877271,4.055918328,4.079674858,4.079173127,4.094929778,4.133428473,4.13937377,4.140037393,3,4.062886955134328,4.077514644149254,4.098040871820896,4.097555255328358,4.100845745462687,4.120962627074627,4.137471543776119,4.134993271328359
GM0119,4.058389474,4.094836965,4.118858685,4.129498398,4.142775776,4.143132579,4.143418133,4.170838098,2,4.05066727644,4.072187560093333,4.081940190866667,4.100965317826667,4.120917301213334,4.1180894698133335,4.12183468044,4.14059472768
GM0141,4.018583535,4.030292785,4.061263575,4.026107276,4.059102704,4.057179247,4.075858236,4.082028925,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
GM0147,4.173514617,4.19216901,4.213278501,4.200645179,4.203626152,4.2111646,4.23558453,4.230390357,3,4.062886955134328,4.077514644149254,4.098040871820896,4.097555255328358,4.100845745462687,4.120962627074627,4.137471543776119,4.134993271328359
GM0148,4.138721182,4.147148076,4.160837663,4.169596289,4.19260445,4.182607618,4.19311789,4.189416718,1,4.076157466063158,4.070072947431579,4.083967035526316,4.1070988579263155,4.125697949421053,4.128177836557895,4.138546759578948,4.135825036757895
GM0150,4.061482627,4.077302067,4.086730443,4.070677577,4.104601794,4.090662848,4.106878692,4.116090049,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
GM0153,4.016801495,4.002769354,4.012744139,4.003218239,4.037442673,4.051351777,4.043889146,4.041037013,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
GM0158,4.071935661,4.12010255,4.148123332,4.136387978,4.16471328,4.162894305,4.176738116,4.188171687,2,4.05066727644,4.072187560093333,4.081940190866667,4.100965317826667,4.120917301213334,4.1180894698133335,4.12183468044,4.14059472768
GM0160,4.114580625,4.108070278,4.132472982,4.13570893,4.136739044,4.157051377,4.151374646,4.145810637,3,4.062886955134328,4.077514644149254,4.098040871820896,4.097555255328358,4.100845745462687,4.120962627074627,4.137471543776119,4.134993271328359
GM0163,4.119341962,4.120546811,4.13982756,4.1495386,4.182546719,4.187738815,4.188479086,4.14273042,1,4.076157466063158,4.070072947431579,4.083967035526316,4.1070988579263155,4.125697949421053,4.128177836557895,4.138546759578948,4.135825036757895
GM0164,4.121867049,4.135477448,4.131412073,4.121501121,4.119261207,4.141506059,4.164264416,4.1709879,3,4.062886955134328,4.077514644149254,4.098040871820896,4.097555255328358,4.100845745462687,4.120962627074627,4.137471543776119,4.134993271328359
GM0166,4.093050673,4.098699606,4.102180197,4.141958358,4.161253837,4.147744147,4.161482754,4.164019662,4,4.0636667534651165,4.078576413697674,4.091693245906977,4.144668209767442,4.1560954526976746,4.146334326558139,4.161437243069767,4.164899693395348
GM0168,4.136468304,4.151304972,4.166691572,4.135883218,4.157889854,4.158087181,4.164177256,4.1590219,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
GM0171,4.078773918,4.069671037,4.079610094,4.058806686,4.097706127,4.08087955,4.097225395,4.093971385,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
GM0173,4.082614832,4.108742103,4.107254011,4.127364152,4.156188258,4.148238965,4.166457004,4.189544445,2,4.05066727644,4.072187560093333,4.081940190866667,4.100965317826667,4.120917301213334,4.1180894698133335,4.12183468044,4.14059472768
GM0175,4.171912473,4.163446716,4.157369324,4.177442571,4.166817271,4.196176039,4.194722507,4.211971443,1,4.076157466063158,4.070072947431579,4.083967035526316,4.1070988579263155,4.125697949421053,4.128177836557895,4.138546759578948,4.135825036757895
GM0177,4.134293296,4.157760497,4.167126161,4.182487575,4.201745002,4.189016397,4.195860272,4.189691382,2,4.05066727644,4.072187560093333,4.081940190866667,4.100965317826667,4.120917301213334,4.1180894698133335,4.12183468044,4.14059472768
GM0180,4.2507598,4.242626516,4.236428134,4.246602045,4.258144014,4.233787866,4.215374494,4.24520444,2,4.05066727644,4.072187560093333,4.081940190866667,4.100965317826667,4.120917301213334,4.1180894698133335,4.12183468044,4.14059472768
GM0183,4.179958098,4.19372899,4.214527258,4.212147889,4.235147338,4.256522175,4.241082567,4.238144774,0,4.096524932353846,4.0978043586,4.115553911738462,4.100317749153846,4.128914110569231,4.128989741553847,4.135944807569231,4.138489232076923
