ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster,2002-2008,2008-2012,2012-2014,2014-2016,2016-2018,2018-2020,2020-2022
WK001400,4.131519996,4.193557925,4.223619977,4.218292288,4.271479715,4.262029144,4.28881574,4.287416972,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK001401,4.077415908,4.132962193,4.159419771,4.171028007,4.175303658,4.195932826,4.231462478,4.226063764,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK001402,4.101541497,4.158685936,4.189451985,4.195755992,4.217786004,4.207192062,4.226043707,4.223437478,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK001403,3.889812127,3.960614895,3.982109782,3.977657516,4.013265724,4.021738585,4.059319171,4.065529334,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK001404,3.987248296,4.060029154,4.081480596,4.090555399,4.114731416,4.093733746,4.133712912,4.130213714,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK001405,4.0499646,4.078278642,4.267047839,4.264355376,4.275325279,4.316177053,4.291306413,4.279055551,0,-1.0782518625587045,2.5242364239689303,2.2281865257665565,2.1418067478664775,2.090628076893497,2.1271706372910013,1.730459072443132
WK001406,4.153155587,4.167553871,4.200518621,4.211840604,4.226784463,4.213531717,4.234743104,4.199229461,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK001407,4.164425885,4.198553027,4.226305536,4.206673422,4.241584724,4.234339937,4.27243463,4.243866255,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK001408,4.114102497,4.142526059,4.176162131,4.152610289,4.171808345,4.161396282,4.182313981,4.204727884,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK001409,3.922862128,4.029338345,4.065333177,4.040535536,4.044621867,4.053484878,4.086111953,4.022726171,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK001410,3.960568438,3.947919548,4.020984532,3.984179805,3.989957251,4.002623075,4.040882154,4.007866838,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK001411,3.889082949,3.950119352,3.98520064,4.009472969,4.02846963,4.010462305,4.043168146,3.981619692,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK001412,3.989761989,4.046075285,4.065831315,4.09377209,4.116985079,4.146365582,4.172021354,4.135707803,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK001413,4.229131362,4.230263215,4.310684958,4.326826921,4.358383329,4.332928391,4.301860092,4.306999492,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
